,Date,Heure,Comp,Tour,Jour,Tribune,Résultat,BM,BE,Adversaire,xG,xGA,Poss,Affluence,Capitaine,Formation,Arbitre,Rapport de match,Notes,Dist,CF,PénM,PénT,Buts,Tirs,TC,TC%,B/Tir,B/TC,Saison,Equipe
14,2021-11-27,17:00,Ligue 1,Journée 15,Sam,Extérieur,N,1,1,Lille,0.6,1.3,41.0,30419.0,Alban Lafont,4-3-3,Johan Hamel,Rapport de match,,18.2,0.0,0.0,0.0,1.0,7.0,3.0,42.9,0.14,0.33,2022,Nantes
15,2021-12-01,21:00,Ligue 1,Journée 16,Mer,Domicile,D,0,1,Marseille,0.2,1.1,30.0,34018.0,Alban Lafont,4-4-2,Eric Wattellier,Rapport de match,,23.7,2.0,0.0,0.0,0.0,3.0,1.0,33.3,0.0,0.0,2022,Nantes
16,2021-12-05,15:00,Ligue 1,Journée 17,Dim,Extérieur,V,1,0,Lorient,0.2,0.7,47.0,16025.0,Alban Lafont,4-4-2,Ruddy Buquet,Rapport de match,,21.1,0.0,0.0,0.0,1.0,5.0,1.0,20.0,0.2,1.0,2022,Nantes
17,2021-12-10,21:00,Ligue 1,Journée 18,Ven,Domicile,V,3,2,Lens,1.4,1.1,41.0,21890.0,Alban Lafont,3-4-3,Stéphanie Frappart,Rapport de match,,19.2,0.0,0.0,0.0,3.0,15.0,5.0,33.3,0.2,0.6,2022,Nantes
19,2021-12-22,21:00,Ligue 1,Journée 19,Mer,Extérieur,V,1,0,Saint-Étienne,0.7,1.2,50.0,23681.0,Alban Lafont,4-5-1,Clément Turpin,Rapport de match,,13.8,0.0,0.0,0.0,1.0,8.0,3.0,37.5,0.13,0.33,2022,Nantes
21,2022-01-09,17:05,Ligue 1,Journée 20,Dim,Domicile,N,0,0,Monaco,0.6,1.0,32.0,4133.0,Alban Lafont,3-5-2,Thomas Léonard,Rapport de match,,17.8,0.0,0.0,0.0,0.0,8.0,4.0,50.0,0.0,0.0,2022,Nantes
22,2022-01-14,21:00,Ligue 1,Journée 21,Ven,Extérieur,D,1,2,Nice,0.6,1.9,47.0,5000.0,Alban Lafont,3-4-3,Ruddy Buquet,Rapport de match,,19.4,2.0,0.0,0.0,1.0,11.0,3.0,27.3,0.09,0.33,2022,Nantes
23,2022-01-23,15:00,Ligue 1,Journée 22,Dim,Domicile,V,4,2,Lorient,1.1,2.0,53.0,4275.0,Alban Lafont,3-5-2,Pierre Gaillouste,Rapport de match,,14.7,1.0,0.0,0.0,4.0,12.0,8.0,66.7,0.33,0.5,2022,Nantes
25,2022-02-06,15:00,Ligue 1,Journée 23,Dim,Extérieur,D,0,1,Strasbourg,0.4,1.8,50.0,22240.0,Alban Lafont,3-4-3,Amaury Delerue,Rapport de match,,19.5,0.0,0.0,0.0,0.0,10.0,2.0,20.0,0.0,0.0,2022,Nantes
27,2022-02-13,15:00,Ligue 1,Journée 24,Dim,Domicile,V,1,0,Reims,0.6,0.5,60.0,14304.0,Alban Lafont,3-4-3,Johan Hamel,Rapport de match,,19.4,1.0,0.0,0.0,1.0,11.0,3.0,27.3,0.09,0.33,2022,Nantes
28,2022-02-19,21:00,Ligue 1,Journée 25,Sam,Domicile,V,3,1,Paris S-G,2.2,3.9,29.0,35500.0,Alban Lafont,3-5-2,Mikael Lesage,Rapport de match,,16.5,0.0,1.0,1.0,3.0,12.0,6.0,50.0,0.17,0.33,2022,Nantes
29,2022-02-27,15:00,Ligue 1,Journée 26,Dim,Extérieur,N,0,0,Metz,0.5,0.4,51.0,15851.0,Alban Lafont,3-5-2,Florent Batta,Rapport de match,,20.1,0.0,0.0,0.0,0.0,12.0,3.0,25.0,0.0,0.0,2022,Nantes
31,2022-03-06,15:00,Ligue 1,Journée 27,Dim,Domicile,V,2,0,Montpellier,1.3,0.3,46.0,21589.0,Alban Lafont,4-4-2◆,Hakim Ben El Hadj Salem,Rapport de match,,17.2,0.0,0.0,0.0,2.0,16.0,5.0,31.3,0.13,0.4,2022,Nantes
32,2022-03-12,21:00,Ligue 1,Journée 28,Sam,Extérieur,D,0,1,Troyes,0.3,1.3,56.0,7400.0,Alban Lafont,3-4-3,Stéphanie Frappart,Rapport de match,,14.9,0.0,0.0,0.0,0.0,6.0,1.0,16.7,0.0,0.0,2022,Nantes
33,2022-03-19,21:00,Ligue 1,Journée 29,Sam,Domicile,D,0,1,Lille,0.8,1.2,53.0,25977.0,Alban Lafont,3-5-2,Pierre Gaillouste,Rapport de match,,19.2,0.0,0.0,0.0,0.0,11.0,3.0,27.3,0.0,0.0,2022,Nantes
34,2022-04-03,15:00,Ligue 1,Journée 30,Dim,Extérieur,V,3,2,Clermont Foot,1.8,0.9,44.0,11785.0,Alban Lafont,3-4-1-2,Mikael Lesage,Rapport de match,,13.6,0.0,1.0,1.0,3.0,8.0,3.0,37.5,0.25,0.67,2022,Nantes
35,2022-04-10,15:00,Ligue 1,Journée 31,Dim,Extérieur,N,1,1,Brest,0.7,1.4,48.0,13145.0,Alban Lafont,3-5-1-1,Johan Hamel,Rapport de match,,14.3,0.0,0.0,0.0,1.0,11.0,4.0,36.4,0.09,0.25,2022,Nantes
36,2022-04-17,15:00,Ligue 1,Journée 32,Dim,Domicile,N,1,1,Angers,2.9,1.1,60.0,25102.0,Alban Lafont,4-2-3-1,Bastien Dechepy,Rapport de match,,14.0,0.0,0.0,0.0,1.0,24.0,7.0,29.2,0.04,0.14,2022,Nantes
37,2022-04-20,21:00,Ligue 1,Journée 33,Mer,Extérieur,D,2,3,Marseille,0.5,3.2,25.0,55890.0,Alban Lafont,3-4-3,Ruddy Buquet,Rapport de match,,16.6,0.0,0.0,0.0,2.0,4.0,3.0,75.0,0.5,0.67,2022,Nantes
38,2022-04-24,15:00,Ligue 1,Journée 34,Dim,Domicile,V,5,3,Bordeaux,2.3,2.6,57.0,30000.0,Alban Lafont,4-3-3,Clément Turpin,Rapport de match,,15.3,0.0,0.0,0.0,4.0,16.0,6.0,37.5,0.25,0.67,2022,Nantes
39,2022-04-30,17:00,Ligue 1,Journée 35,Sam,Extérieur,N,2,2,Lens,1.5,2.3,47.0,36727.0,Alban Lafont,3-5-2,Thomas Léonard,Rapport de match,,17.5,1.0,0.0,0.0,2.0,13.0,5.0,38.5,0.15,0.4,2022,Nantes
41,2022-05-11,21:00,Ligue 1,Journée 36,Mer,Domicile,V,2,1,Rennes,1.1,2.3,31.0,26359.0,Alban Lafont,4-2-3-1,Antony Gautier,Rapport de match,,19.6,0.0,0.0,0.0,2.0,10.0,3.0,30.0,0.2,0.67,2022,Nantes
42,2022-05-14,21:00,Ligue 1,Journée 37,Sam,Extérieur,D,2,3,Lyon,1.8,2.4,39.0,,Alban Lafont,3-5-2,Florent Batta,Rapport de match,,17.2,0.0,0.0,0.0,2.0,17.0,6.0,35.3,0.12,0.33,2022,Nantes
43,2022-05-21,21:00,Ligue 1,Journée 38,Sam,Domicile,N,1,1,Saint-Étienne,2.2,1.6,54.0,,Alban Lafont,3-4-3,François Letexier,Rapport de match,,18.8,0.0,1.0,1.0,1.0,11.0,3.0,27.3,0.0,0.0,2022,Nantes
1,2021-08-08,17:00,Ligue 1,Journée 1,Dim,Extérieur,N,3,3,Metz,1.4,0.7,61.0,15551.0,José Fonte,4-4-2,Eric Wattellier,Rapport de match,,18.4,0.0,0.0,0.0,2.0,17.0,6.0,35.3,0.12,0.33,2022,Lille
2,2021-08-14,17:00,Ligue 1,Journée 2,Sam,Domicile,D,0,4,Nice,1.0,2.2,62.0,30144.0,José Fonte,4-4-2,Jérôme Brisard,Rapport de match,,14.6,1.0,0.0,0.0,0.0,11.0,2.0,18.2,0.0,0.0,2022,Lille
3,2021-08-21,21:00,Ligue 1,Journée 3,Sam,Extérieur,N,1,1,Saint-Étienne,1.2,0.4,52.0,20673.0,José Fonte,4-4-2,Mikael Lesage,Rapport de match,,15.8,1.0,0.0,0.0,1.0,8.0,6.0,75.0,0.13,0.17,2022,Lille
4,2021-08-29,17:00,Ligue 1,Journée 4,Dim,Domicile,V,2,1,Montpellier,1.7,0.6,45.0,28859.0,José Fonte,4-4-2,Amaury Delerue,Rapport de match,,16.5,0.0,0.0,0.0,2.0,15.0,4.0,26.7,0.13,0.5,2022,Lille
5,2021-09-10,21:00,Ligue 1,Journée 5,Ven,Extérieur,D,1,2,Lorient,1.4,2.3,56.0,10271.0,José Fonte,4-4-2,Clément Turpin,Rapport de match,,20.7,0.0,1.0,1.0,1.0,8.0,2.0,25.0,0.0,0.0,2022,Lille
7,2021-09-18,17:00,Ligue 1,Journée 6,Sam,Extérieur,D,0,1,Lens,0.9,0.7,55.0,36512.0,José Fonte,4-4-2,Benoît Millot,Rapport de match,,11.7,0.0,0.0,0.0,0.0,6.0,2.0,33.3,0.0,0.0,2022,Lille
8,2021-09-22,19:00,Ligue 1,Journée 7,Mer,Domicile,V,2,1,Reims,0.8,1.4,53.0,32604.0,José Fonte,4-4-2,Johan Hamel,Rapport de match,,16.3,1.0,0.0,0.0,2.0,7.0,4.0,57.1,0.29,0.5,2022,Lille
9,2021-09-25,19:00,Ligue 1,Journée 8,Sam,Extérieur,V,2,1,Strasbourg,2.6,0.7,43.0,23762.0,José Fonte,4-4-2,François Letexier,Rapport de match,,20.9,1.0,1.0,1.0,2.0,15.0,5.0,33.3,0.07,0.2,2022,Lille
11,2021-10-03,17:00,Ligue 1,Journée 9,Dim,Domicile,V,2,0,Marseille,2.2,0.6,37.0,44839.0,José Fonte,4-4-2,Jérémie Pignard,Rapport de match,,14.0,0.0,0.0,0.0,2.0,12.0,5.0,41.7,0.17,0.4,2022,Lille
12,2021-10-16,17:00,Ligue 1,Journée 10,Sam,Extérieur,D,0,1,Clermont Foot,0.8,0.3,57.0,11537.0,José Fonte,4-2-3-1,Eric Wattellier,Rapport de match,,11.5,0.0,0.0,0.0,0.0,9.0,2.0,22.2,0.0,0.0,2022,Lille
14,2021-10-23,21:00,Ligue 1,Journée 11,Sam,Domicile,N,1,1,Brest,1.7,1.0,64.0,32613.0,José Fonte,4-4-2,Clément Turpin,Rapport de match,,19.2,1.0,0.0,0.0,1.0,13.0,3.0,23.1,0.08,0.33,2022,Lille
15,2021-10-29,21:00,Ligue 1,Journée 12,Ven,Extérieur,D,1,2,Paris S-G,2.0,2.4,41.0,47874.0,José Fonte,4-4-2,Amaury Delerue,Rapport de match,,14.7,0.0,0.0,0.0,1.0,11.0,3.0,27.3,0.09,0.33,2022,Lille
17,2021-11-06,17:00,Ligue 1,Journée 13,Sam,Domicile,N,1,1,Angers,1.7,0.9,46.0,33305.0,José Fonte,4-4-2,François Letexier,Rapport de match,,15.2,1.0,0.0,0.0,1.0,11.0,5.0,45.5,0.09,0.2,2022,Lille
18,2021-11-19,21:00,Ligue 1,Journée 14,Ven,Extérieur,N,2,2,Monaco,2.1,1.2,46.0,3778.0,José Fonte,4-4-2,Willy Delajod,Rapport de match,,15.7,0.0,1.0,1.0,2.0,14.0,7.0,50.0,0.07,0.14,2022,Lille
20,2021-11-27,17:00,Ligue 1,Journée 15,Sam,Domicile,N,1,1,Nantes,1.3,0.6,59.0,30419.0,José Fonte,4-4-2,Johan Hamel,Rapport de match,,13.6,0.0,0.0,1.0,1.0,9.0,2.0,22.2,0.11,0.5,2022,Lille
21,2021-12-01,21:00,Ligue 1,Journée 16,Mer,Extérieur,V,2,1,Rennes,0.6,0.8,36.0,25392.0,José Fonte,4-4-2,Stéphanie Frappart,Rapport de match,,17.9,0.0,0.0,0.0,2.0,7.0,2.0,28.6,0.29,1.0,2022,Lille
22,2021-12-04,19:00,Ligue 1,Journée 17,Sam,Domicile,V,2,1,Troyes,1.5,0.4,45.0,28286.0,José Fonte,4-4-2,Benoît Bastien,Rapport de match,,13.8,0.0,0.0,0.0,1.0,13.0,5.0,38.5,0.08,0.2,2022,Lille
24,2021-12-12,13:00,Ligue 1,Journée 18,Dim,Domicile,N,0,0,Lyon,2.0,0.4,51.0,40248.0,José Fonte,4-4-2,Amaury Delerue,Rapport de match,,16.5,1.0,0.0,0.0,0.0,14.0,2.0,14.3,0.0,0.0,2022,Lille
26,2021-12-22,21:00,Ligue 1,Journée 19,Mer,Extérieur,V,3,2,Bordeaux,1.3,1.2,58.0,39967.0,José Fonte,4-4-2,Mikael Lesage,Rapport de match,,19.4,0.0,1.0,1.0,3.0,12.0,2.0,16.7,0.17,1.0,2022,Lille
28,2022-01-16,20:45,Ligue 1,Journée 21,Dim,Extérieur,N,1,1,Marseille,0.7,1.6,25.0,5034.0,José Fonte,4-4-2,Amaury Delerue,Rapport de match,,18.5,0.0,0.0,0.0,1.0,5.0,4.0,80.0,0.2,0.25,2022,Lille
29,2022-01-19,19:00,Ligue 1,Journée 20,Mer,Domicile,V,3,1,Lorient,1.8,1.3,55.0,4834.0,José Fonte,4-4-2,Florent Batta,Rapport de match,,17.9,2.0,0.0,0.0,2.0,13.0,5.0,38.5,0.15,0.4,2022,Lille
30,2022-01-22,17:00,Ligue 1,Journée 22,Sam,Extérieur,D,0,2,Brest,1.6,1.2,61.0,4358.0,José Fonte,4-4-2,Jérôme Brisard,Rapport de match,,18.5,0.0,0.0,0.0,0.0,17.0,5.0,29.4,0.0,0.0,2022,Lille
31,2022-02-06,20:45,Ligue 1,Journée 23,Dim,Domicile,D,1,5,Paris S-G,1.0,2.9,42.0,48437.0,José Fonte,4-4-2,François Letexier,Rapport de match,,12.8,0.0,0.0,0.0,1.0,10.0,5.0,50.0,0.1,0.2,2022,Lille
32,2022-02-12,17:00,Ligue 1,Journée 24,Sam,Extérieur,V,1,0,Montpellier,1.4,1.1,43.0,11784.0,José Fonte,4-4-2,Stéphanie Frappart,Rapport de match,,20.5,1.0,0.0,0.0,1.0,17.0,7.0,41.2,0.06,0.14,2022,Lille
33,2022-02-18,21:00,Ligue 1,Journée 25,Ven,Domicile,N,0,0,Metz,1.2,0.4,63.0,30384.0,José Fonte,4-4-2,Bastien Dechepy,Rapport de match,,13.2,0.0,0.0,0.0,0.0,13.0,1.0,7.7,0.0,0.0,2022,Lille
35,2022-02-27,20:45,Ligue 1,Journée 26,Dim,Extérieur,V,1,0,Lyon,0.7,1.7,37.0,42647.0,José Fonte,4-2-3-1,Clément Turpin,Rapport de match,,14.6,0.0,0.0,0.0,1.0,6.0,2.0,33.3,0.17,0.5,2022,Lille
36,2022-03-06,17:05,Ligue 1,Journée 27,Dim,Domicile,V,4,0,Clermont Foot,2.2,0.8,48.0,33515.0,José Fonte,4-4-2,Thomas Léonard,Rapport de match,,15.5,1.0,0.0,0.0,4.0,15.0,8.0,53.3,0.27,0.5,2022,Lille
37,2022-03-11,21:00,Ligue 1,Journée 28,Ven,Domicile,N,0,0,Saint-Étienne,0.8,0.6,51.0,40146.0,José Fonte,4-2-3-1,Florent Batta,Rapport de match,,15.7,0.0,0.0,0.0,0.0,10.0,2.0,20.0,0.0,0.0,2022,Lille
39,2022-03-19,21:00,Ligue 1,Journée 29,Sam,Extérieur,V,1,0,Nantes,1.2,0.8,47.0,25977.0,José Fonte,4-2-3-1,Pierre Gaillouste,Rapport de match,,16.2,1.0,0.0,0.0,1.0,13.0,4.0,30.8,0.08,0.25,2022,Lille
40,2022-04-02,19:00,Ligue 1,Journée 30,Sam,Domicile,N,0,0,Bordeaux,3.0,0.0,66.0,36351.0,José Fonte,4-2-3-1,Bastien Dechepy,Rapport de match,,15.1,1.0,0.0,0.0,0.0,22.0,6.0,27.3,0.0,0.0,2022,Lille
41,2022-04-10,15:00,Ligue 1,Journée 31,Dim,Extérieur,N,1,1,Angers,0.9,0.7,64.0,9286.0,José Fonte,4-4-2,Thomas Léonard,Rapport de match,,20.4,0.0,0.0,0.0,1.0,16.0,3.0,18.8,0.06,0.33,2022,Lille
42,2022-04-16,21:00,Ligue 1,Journée 32,Sam,Domicile,D,1,2,Lens,0.8,0.9,56.0,48169.0,José Fonte,4-4-1-1,Jérôme Brisard,Rapport de match,,17.9,0.0,0.0,0.0,1.0,17.0,5.0,29.4,0.06,0.2,2022,Lille
43,2022-04-20,19:00,Ligue 1,Journée 33,Mer,Extérieur,D,1,2,Reims,1.1,0.9,59.0,10910.0,José Fonte,4-4-1-1,Hakim Ben El Hadj Salem,Rapport de match,,20.5,2.0,0.0,0.0,1.0,20.0,5.0,25.0,0.05,0.2,2022,Lille
44,2022-04-24,17:05,Ligue 1,Journée 34,Dim,Domicile,V,1,0,Strasbourg,0.7,0.9,46.0,30211.0,José Fonte,4-4-2,Jérémie Pignard,Rapport de match,,19.8,0.0,0.0,0.0,1.0,11.0,3.0,27.3,0.09,0.33,2022,Lille
45,2022-05-01,13:00,Ligue 1,Journée 35,Dim,Extérieur,D,0,3,Troyes,0.6,2.9,61.0,10497.0,José Fonte,4-4-2,Willy Delajod,Rapport de match,,15.8,0.0,0.0,0.0,0.0,10.0,1.0,10.0,0.0,0.0,2022,Lille
46,2022-05-06,21:00,Ligue 1,Journée 36,Ven,Domicile,D,1,2,Monaco,1.1,0.4,51.0,39088.0,José Fonte,4-4-2,François Letexier,Rapport de match,,18.2,0.0,0.0,0.0,1.0,15.0,5.0,33.3,0.07,0.2,2022,Lille
47,2022-05-14,21:00,Ligue 1,Journée 37,Sam,Extérieur,V,3,1,Nice,2.1,1.2,41.0,,José Fonte,4-4-2,Thomas Léonard,Rapport de match,,14.5,0.0,0.0,0.0,3.0,9.0,5.0,55.6,0.33,0.6,2022,Lille
48,2022-05-21,21:00,Ligue 1,Journée 38,Sam,Domicile,N,2,2,Rennes,1.5,1.0,50.0,,José Fonte,4-4-2,Amaury Delerue,Rapport de match,,13.1,0.0,0.0,0.0,2.0,13.0,3.0,23.1,0.15,0.67,2022,Lille
0,2021-08-07,17:00,Ligue 1,Journée 1,Sam,Extérieur,N,1,1,Lyon,0.8,1.4,32.0,29018.0,Brendan Chardonnet,4-2-3-1,Mikael Lesage,Rapport de match,,16.7,0.0,0.0,0.0,1.0,13.0,7.0,53.8,0.08,0.14,2022,Brest
1,2021-08-15,15:00,Ligue 1,Journée 2,Dim,Domicile,N,1,1,Rennes,1.5,0.9,41.0,14271.0,Brendan Chardonnet,4-2-3-1,Benoît Bastien,Rapport de match,,10.6,0.0,0.0,0.0,1.0,10.0,5.0,50.0,0.1,0.2,2022,Brest
2,2021-08-20,21:00,Ligue 1,Journée 3,Ven,Domicile,D,2,4,Paris S-G,1.2,1.4,26.0,14586.0,Brendan Chardonnet,4-2-3-1,Eric Wattellier,Rapport de match,,17.0,1.0,0.0,0.0,2.0,11.0,3.0,27.3,0.18,0.67,2022,Brest
3,2021-08-29,15:00,Ligue 1,Journée 4,Dim,Extérieur,D,1,3,Strasbourg,0.9,1.6,51.0,22341.0,Steve Mounié,4-3-3,Romain Lissorgue,Rapport de match,,14.2,0.0,0.0,0.0,1.0,12.0,5.0,41.7,0.08,0.2,2022,Brest
4,2021-09-12,15:00,Ligue 1,Journée 5,Dim,Domicile,N,1,1,Angers,1.6,1.3,49.0,10982.0,Brendan Chardonnet,4-2-3-1,Jeremy Stinat,Rapport de match,,22.8,0.0,1.0,1.0,1.0,11.0,5.0,45.5,0.0,0.0,2022,Brest
5,2021-09-19,15:00,Ligue 1,Journée 6,Dim,Extérieur,N,1,1,Clermont Foot,0.5,0.8,42.0,11224.0,Brendan Chardonnet,4-2-3-1,Bastien Dechepy,Rapport de match,,16.0,0.0,0.0,0.0,1.0,6.0,1.0,16.7,0.17,1.0,2022,Brest
6,2021-09-22,19:00,Ligue 1,Journée 7,Mer,Extérieur,D,1,3,Nantes,0.6,1.4,59.0,19676.0,Brendan Chardonnet,4-1-4-1,Thomas Léonard,Rapport de match,,17.5,0.0,0.0,0.0,1.0,10.0,2.0,20.0,0.1,0.5,2022,Brest
7,2021-09-26,15:00,Ligue 1,Journée 8,Dim,Domicile,D,1,2,Metz,1.4,0.6,66.0,10398.0,Brendan Chardonnet,4-2-3-1,Willy Delajod,Rapport de match,,17.9,1.0,1.0,1.0,1.0,10.0,1.0,10.0,0.0,0.0,2022,Brest
8,2021-10-02,21:00,Ligue 1,Journée 9,Sam,Extérieur,D,1,2,Nice,0.5,4.2,30.0,13503.0,Brendan Chardonnet,4-2-3-1,António Nobre,Rapport de match,,13.3,0.0,0.0,0.0,1.0,6.0,3.0,50.0,0.17,0.33,2022,Brest
9,2021-10-17,15:00,Ligue 1,Journée 10,Dim,Domicile,N,1,1,Reims,0.6,0.8,55.0,9693.0,Brendan Chardonnet,4-2-3-1,Jeremy Stinat,Rapport de match,,13.2,0.0,0.0,0.0,1.0,10.0,4.0,40.0,0.1,0.25,2022,Brest
10,2021-10-23,21:00,Ligue 1,Journée 11,Sam,Extérieur,N,1,1,Lille,1.0,1.7,36.0,32613.0,Brendan Chardonnet,4-2-3-1,Clément Turpin,Rapport de match,,18.5,2.0,0.0,0.0,1.0,14.0,6.0,42.9,0.07,0.17,2022,Brest
11,2021-10-31,17:00,Ligue 1,Journée 12,Dim,Domicile,V,2,0,Monaco,1.5,0.4,34.0,12463.0,Brendan Chardonnet,4-2-3-1,Johan Hamel,Rapport de match,,17.0,0.0,0.0,0.0,2.0,7.0,3.0,42.9,0.29,0.67,2022,Brest
12,2021-11-07,15:00,Ligue 1,Journée 13,Dim,Extérieur,V,2,1,Lorient,2.5,1.2,62.0,14649.0,Steve Mounié,4-4-2,Romain Lissorgue,Rapport de match,,17.3,0.0,1.0,1.0,2.0,16.0,4.0,25.0,0.06,0.25,2022,Brest
13,2021-11-21,13:00,Ligue 1,Journée 14,Dim,Domicile,V,4,0,Lens,1.1,1.4,37.0,12462.0,Brendan Chardonnet,4-4-2,Eric Wattellier,Rapport de match,,18.4,0.0,0.0,0.0,4.0,13.0,5.0,38.5,0.31,0.8,2022,Brest
14,2021-11-28,15:00,Ligue 1,Journée 15,Dim,Extérieur,V,2,1,Bordeaux,2.8,1.5,35.0,15280.0,Brendan Chardonnet,4-4-2,Pierre Gaillouste,Rapport de match,,16.7,1.0,0.0,0.0,2.0,14.0,4.0,28.6,0.14,0.5,2022,Brest
15,2021-12-01,19:00,Ligue 1,Journée 16,Mer,Domicile,V,1,0,Saint-Étienne,1.7,0.7,36.0,13248.0,Brendan Chardonnet,4-4-2,Mikael Lesage,Rapport de match,,16.5,0.0,1.0,1.0,1.0,7.0,2.0,28.6,0.0,0.0,2022,Brest
16,2021-12-04,17:00,Ligue 1,Journée 17,Sam,Extérieur,V,2,1,Marseille,1.6,2.2,26.0,54413.0,Brendan Chardonnet,4-4-2,Antony Gautier,Rapport de match,,21.3,0.0,1.0,1.0,2.0,8.0,3.0,37.5,0.13,0.33,2022,Brest
17,2021-12-11,17:00,Ligue 1,Journée 18,Sam,Domicile,D,0,4,Montpellier,0.9,1.5,46.0,13111.0,Steve Mounié,4-4-2,Benoît Millot,Rapport de match,,18.4,0.0,0.0,0.0,0.0,17.0,6.0,35.3,0.0,0.0,2022,Brest
19,2021-12-22,21:00,Ligue 1,Journée 19,Mer,Extérieur,N,1,1,Troyes,0.5,1.1,35.0,6872.0,Brendan Chardonnet,4-4-2,Johan Hamel,Rapport de match,,19.6,1.0,0.0,0.0,1.0,8.0,2.0,25.0,0.13,0.5,2022,Brest
21,2022-01-09,13:00,Ligue 1,Journée 20,Dim,Domicile,D,0,3,Nice,1.7,1.5,63.0,5102.0,Brendan Chardonnet,4-4-2,Stéphanie Frappart,Rapport de match,,17.7,1.0,0.0,0.0,0.0,26.0,9.0,34.6,0.0,0.0,2022,Brest
22,2022-01-15,21:00,Ligue 1,Journée 21,Sam,Extérieur,D,0,2,Paris S-G,0.9,2.4,32.0,4925.0,Brendan Chardonnet,4-4-2,Mikael Lesage,Rapport de match,,16.3,0.0,0.0,0.0,0.0,6.0,3.0,50.0,0.0,0.0,2022,Brest
23,2022-01-22,17:00,Ligue 1,Journée 22,Sam,Domicile,V,2,0,Lille,1.2,1.6,39.0,4358.0,Brendan Chardonnet,4-4-2,Jérôme Brisard,Rapport de match,,17.8,0.0,1.0,1.0,1.0,8.0,2.0,25.0,0.0,0.0,2022,Brest
25,2022-02-06,17:00,Ligue 1,Journée 23,Dim,Extérieur,D,0,2,Rennes,0.3,2.7,40.0,25409.0,Brendan Chardonnet,4-4-2,Johan Hamel,Rapport de match,,21.1,1.0,0.0,0.0,0.0,5.0,1.0,20.0,0.0,0.0,2022,Brest
26,2022-02-13,15:00,Ligue 1,Journée 24,Dim,Domicile,V,5,1,Troyes,2.7,0.3,58.0,10600.0,Brendan Chardonnet,4-2-3-1,Florent Batta,Rapport de match,,13.1,0.0,0.0,0.0,5.0,12.0,5.0,41.7,0.42,1.0,2022,Brest
27,2022-02-20,15:00,Ligue 1,Journée 25,Dim,Extérieur,N,1,1,Reims,2.1,0.6,56.0,9307.0,Jean-Kevin Duverne,4-2-3-1,Hakim Ben El Hadj Salem,Rapport de match,,12.9,0.0,0.0,1.0,1.0,15.0,2.0,13.3,0.07,0.5,2022,Brest
28,2022-02-27,15:00,Ligue 1,Journée 26,Dim,Domicile,D,0,1,Lorient,0.3,1.9,46.0,14050.0,Brendan Chardonnet,4-2-3-1,Benoît Bastien,Rapport de match,,20.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,2022,Brest
29,2022-03-05,17:00,Ligue 1,Journée 27,Sam,Extérieur,V,1,0,Lens,0.5,1.9,36.0,36305.0,Jean-Kevin Duverne,3-4-1-2,Johan Hamel,Rapport de match,,20.9,0.0,0.0,0.0,1.0,6.0,3.0,50.0,0.17,0.33,2022,Brest
30,2022-03-13,20:45,Ligue 1,Journée 28,Dim,Domicile,D,1,4,Marseille,0.6,2.2,48.0,14611.0,Jean-Kevin Duverne,4-4-2,Ruddy Buquet,Rapport de match,,17.0,1.0,0.0,0.0,1.0,8.0,2.0,25.0,0.13,0.5,2022,Brest
31,2022-03-20,15:00,Ligue 1,Journée 29,Dim,Extérieur,D,0,1,Angers,0.8,1.6,50.0,7734.0,Brendan Chardonnet,3-4-1-2,Jérémie Pignard,Rapport de match,,14.3,0.0,0.0,0.0,0.0,16.0,2.0,12.5,0.0,0.0,2022,Brest
32,2022-04-03,15:00,Ligue 1,Journée 30,Dim,Extérieur,V,2,1,Montpellier,0.7,1.8,41.0,10929.0,Brendan Chardonnet,4-4-2,Florent Batta,Rapport de match,,20.5,0.0,0.0,0.0,2.0,12.0,7.0,58.3,0.17,0.29,2022,Brest
33,2022-04-10,15:00,Ligue 1,Journée 31,Dim,Domicile,N,1,1,Nantes,1.4,0.7,52.0,13145.0,Brendan Chardonnet,4-4-2,Johan Hamel,Rapport de match,,16.5,0.0,0.0,0.0,1.0,12.0,6.0,50.0,0.08,0.17,2022,Brest
34,2022-04-16,17:00,Ligue 1,Journée 32,Sam,Extérieur,D,1,2,Saint-Étienne,1.1,0.9,61.0,27227.0,Brendan Chardonnet,4-4-2,Eric Wattellier,Rapport de match,,12.8,0.0,0.0,0.0,1.0,8.0,3.0,37.5,0.13,0.33,2022,Brest
35,2022-04-20,21:00,Ligue 1,Journée 33,Mer,Domicile,V,2,1,Lyon,1.2,2.7,33.0,14028.0,Brendan Chardonnet,4-4-2,Jeremy Stinat,Rapport de match,,21.4,0.0,1.0,1.0,2.0,8.0,2.0,25.0,0.13,0.5,2022,Brest
36,2022-04-24,15:00,Ligue 1,Journée 34,Dim,Extérieur,V,1,0,Metz,2.0,0.4,42.0,19874.0,Brendan Chardonnet,4-3-3,Florent Batta,Rapport de match,,17.7,1.0,0.0,0.0,1.0,16.0,3.0,18.8,0.06,0.33,2022,Brest
37,2022-05-01,15:00,Ligue 1,Journée 35,Dim,Domicile,V,2,0,Clermont Foot,1.3,1.3,42.0,10592.0,Brendan Chardonnet,4-4-2,Romain Lissorgue,Rapport de match,,12.2,0.0,0.0,0.0,2.0,8.0,4.0,50.0,0.25,0.5,2022,Brest
